,product_index,name,n_reviews,price,brand,img_url,details,star_rating,product_url,sentiment_rf_feature0,contribution_rf_feature0,sentiment_rf_feature1,contribution_rf_feature1,sentiment_rf_feature2,contribution_rf_feature2,sentiment_rf_feature3,contribution_rf_feature3
4163,4164,"Seaside Port Jigsaw Puzzle, 1000-Piece",1,19.99,Anatolian,https://images-na.ssl-images-amazon.com/images/I/91N30rWOdqL._SL1500_.jpg,"""Each Puzzle Includes a 'box stand' to make puzzle assembly easier"", 'If you lose a puzzle piece you can contact the Perre missing part support and they will mail you the missing parts free of charge. Finished puzzle size is 18.9"" x 25.98"" or 48cm x 66cm'",5.0,https://amazon.com/Anatolian-Seaside-Jigsaw-Puzzle-1000-Piece/dp/B00AEDZECM,,0.0,,0.0,,0.0,0.7783,1.0
4164,4165,New York Puzzle Company - New Yorker Seasonal Scenes - 1000 Piece Jigsaw Puzzle,10,51.95,New York Puzzle Company,https://images-na.ssl-images-amazon.com/images/I/81azoHdw9bL._SL1024_.jpg,"'Seasonal Scenes - New Yorker Cover by Artist William Steig, originally published on September 3rd, 1938. 1000 Piece Jigsaw Puzzle', ""Finished Puzzle Size: 26.625''x19.25''"", 'Made in the USA. Recommended Age: 13+ Years'",4.7,https://amazon.com/New-York-Puzzle-Company-Seasonal/dp/B009G5FP78,,0.0,0.50975,2.0,0.4828666666666666,3.0,0.5719,1.0
4165,4166,(1000 Pieces) Naruto Shippuden - The Gathering (50×75cm) Jigsaw Puzzle,6,276.13,ensky,nan,"'Ensky sells jigsaw puzzles of characters such as ONE PIECE animation and the company stands at the top of sales in recent years with these big hits. Ensky sells jigsaw puzzles of characters such as ONE PIECE animation and the company stands at the top of sales in recent years with these big hits Puzzles are also an important educational learning tool for toddlers and young children as they provide many skills and mental learning benefits and opportunities Working on puzzles and solving them provides us with very many helpful benefits Research shows puzzles are educational, especially in the area of mathematics, and they offer developmental support for both children and adults Obtain a jigsaw puzzle of your choice from Japan, and have a fun, relaxing time with your kids, while at the same time developing their minds educationally.'",4.5,https://amazon.com/1000-Pieces-Naruto-Shippuden-Gathering/dp/B007ZJO6RM,0.1307,2.0,0.5155000000000001,2.0,,0.0,0.366675,2.0
4166,4167,"Buffalo Games Charles Wysocki, Plum Valley - 1000pc  Jigsaw Puzzle",13,0.0,nan,https://images-na.ssl-images-amazon.com/images/I/91iszFnzMKL._SL1500_.jpg,'Contains 1000 pieces. Finished size is 26.75 x 19.75 inches. Manufactured from premium quality materials. Made in the United States. Bonus poster included for help in solving',3.9,https://amazon.com/Buffalo-Games-Charles-Wysocki-Valley/dp/B0077S7TQQ,,0.0,0.21265833333333334,4.0,0.5702944444444444,6.0,0.42712000000000006,5.0
4167,4168,SUNSOUT INC Southwestern Pots 1000 pc Jigsaw Puzzle,3,33.59,SUNSOUT INC,https://images-na.ssl-images-amazon.com/images/I/811R3n8EpbL._SL1500_.jpg,"'Southwestern Pots 1000 pc Jigsaw Puzzle. 1000 Piece Puzzle - Completed Size: 38"" x 25"" Shaped. Puzzle Artist: Roberta Wesley. Eco-Friendly - Soy-Based Inks - Recycled Board - Made in the USA. Interlocking Pieces & Durable Construction'",4.6,https://amazon.com/Southwestern-Pots-1000-Jigsaw-Puzzle/dp/B0074VWEL6,,0.0,0.6249,1.0,,0.0,0.67805,2.0
4168,4169,Tomax Statue of Liberty USA 1000 Piece Jigsaw Puzzle,1,25.68,TOMAX,nan,'1000 Piece Puzzle. High Quality. Unique Design. Fun for Any Rainy or Snowy day The perfect gift for all ages!',5.0,https://amazon.com/Tomax-Statue-Liberty-Jigsaw-Puzzle/dp/B005Z1IQDW,,0.0,,0.0,,0.0,,0.0
4169,4170,Boating Party,2,26.04,Piatnik,https://images-na.ssl-images-amazon.com/images/I/71kI1ykiCNL._SL1000_.jpg,'Age: Adult. Artist: Renoir. Pieces: 1000. Product Type: Jigsaw Puzzle. Theme: Impressionism',4.0,https://amazon.com/Piatnik-5681-Boating-Party/dp/B003DQRPNS,,0.0,,0.0,0.6597,1.0,0.37625000000000003,2.0
4170,4171,EuroGraphics Butterflies 1000 Piece Puzzle,3,21.1,EuroGraphics,https://images-na.ssl-images-amazon.com/images/I/71UbEAKs1zL._SL1200_.jpg,"'1000-Piece Puzzle. Box size: 10"" x 14"" x 2.37"". Finished Puzzle Size: 19.25"" x 26.5"". Manufactured using the highest quality blue board. Made in the USA. Made in the United States. 100% recyclable, safe, non-toxic, and printed with vegetable-based inks and Certified by the Forest Stewardship Council. Printed in Canada, made in the United States. Puzzle pieces are manufactured using the highest quality 0.07"" blueboard, offering an exact fit without fraying over time and use. Assembling puzzles improves fine motor skills and picture recognition abilities - promotes both cooperative and independent play'",4.0,https://amazon.com/EuroGraphics-Butterflies-1000-Piece-Puzzle/dp/B001AUOBH2,,0.0,0.392325,2.0,0.6956,1.0,,0.0
4171,4172,1174 Cinderella's Grand Arrival 1000pcs,2,0.0,nan,nan,"""1174 Cinderella's Grand Arrival 1000pcs""",3.3,https://amazon.com/1174-Cinderellas-Grand-Arrival-1000pcs/dp/B000W6EW2O,,0.0,0.315865,2.0,0.5289666666666666,2.0,0.10115,1.0
4172,4173,Butterfly Woods 1000 pc Jigsaw Puzzle,11,35.69,SUNSOUT INC,nan,'Butterfly Woods 1000 pc Jigsaw Puzzle. 1000 Piece Puzzle - Completed Size: 20x27. Puzzle Artist: David Penfound. Eco-Friendly - Soy-Based Inks - Recycled Board - Made in the USA. Interlocking Pieces & Durable Construction',3.7,https://amazon.com/SunsOut-Butterfly-Woods-Jigsaw-Puzzle/dp/B00064S9Y4,-0.26034999999999997,2.0,0.8039,1.0,-0.23939999999999997,1.0,0.6552375000000001,4.0
