,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,product_index,name,n_reviews,price,brand,img_url,details,star_rating,product_url,sentiment_rf_feature0,contribution_rf_feature0,sentiment_rf_feature1,contribution_rf_feature1,sentiment_rf_feature2,contribution_rf_feature2,sentiment_rf_feature3,contribution_rf_feature3,score_quality,score_difficulty,score_fit,score_missing_pieces,theme,art_style
20,20,20,21,21,21,21,21,21,26,27,White Mountain Puzzles Cereal Boxes - 1000 Piece Jigsaw Puzzle,80,13.99,White Mountain,https://images-na.ssl-images-amazon.com/images/I/91gpJfZbusL._SL1200_.jpg,"'A customer favorite: introducing a new and improved image of the popular White Mountain Puzzles – cereal boxes jigsaw puzzle, now with all new artwork from general Mills For the cereal Lover: featuring a collage of the timeless General Mills cereal boxes, This colorful jigsaw puzzle will bring hours of fun and entertainment to both young and old cereal lovers About the artist: with his seemingly endless supply of ideas and creativity, Charlie Girard is one of our most popular designers and the creator of fantastic and unique collage puzzles More to puzzle building: art jigsaw puzzles are a fun, inexpensive way to enjoy works of art first hand. Use to boost valuable motor skills, hand-eye coordination, and problem solving skills Specifics: includes 1, 000 extra large puzzle pieces made of sturdy blue chipboard on recycled paper. Completed puzzle Dimensions: 24 x 30 inches. 100% customer satisfaction guarantee. Made in USA.'",4.0,https://amazon.com/White-Mountain-Puzzles-Cereal-Boxes/dp/B01N5Q40GV,-0.17655416666666665,12.0,0.3815789473684211,19.0,0.1278766666666667,15.0,0.3139535714285713,14.0,0.6569767857142856,0.6907894736842105,0.5639383333333333,0.41172291666666666,food,collage
21,21,21,22,22,22,22,22,22,27,28,Buffalo Games - Aimee Stewart - Beach Vacation - 1000 Piece Jigsaw Puzzle,37,14.99,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91m2CF4dDIL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.8,https://amazon.com/Buffalo-Games-Stewart-Vacation-Jigsaw/dp/B07G8ZSTQF,-0.052379999999999996,5.0,0.31186250000000004,8.0,0.3740250000000001,5.0,0.5806197802197803,13.0,0.7903098901098902,0.6559312500000001,0.6870125,0.47381,towns_and_cities,hand
22,22,22,23,23,23,23,23,23,29,30,White Mountain Puzzles Candy Wrappers - 1000Piece Jigsaw Puzzle,844,17.99,White Mountain,https://images-na.ssl-images-amazon.com/images/I/A10S%2BN9dv3L._SL1500_.jpg,"'A CUSTOMER FAVORITE: Take a sweet stroll down memory lane with the Candy Wrappers puzzle. This bestseller exceptional piece will make a great gift for both young and older candy lovers 1000 PIECES OF FUN: Featuring a collage of timeless candy brands, this colorful jigsaw puzzle will bring something to the table for all ages. Entertainment everyone can enjoy!. A MEMORABLE PIECE: With his seemingly endless supply of ideas and creativity, Charlie Girard is one of our most popular puzzle designers and the creator of fantastic & unique collage puzzles MORE TO PUZZLE BUILDING: Art jigsaw puzzles are a fun, inexpensive way to enjoy beautiful works of art first hand! Use to boost skills: hand-eye coordination, motor skills, problem solving, etc SPECIFICS: Includes 1000 extra large puzzle pieces made of sturdy blue chipboard on recycled paper. Completed puzzle dimensions: 24 x 30 inches. 100% customer satisfaction guarantee. Made in USA.'",4.2,https://amazon.com/White-Mountain-Puzzles-Candy-Wrappers/dp/B005JAH3TC,-0.22315099502487548,67.0,0.3885161088709676,248.0,0.3697689243498818,141.0,0.4892510135135129,148.0,0.7446255067567564,0.6942580544354837,0.6848844621749409,0.3884245024875623,food,collage
23,23,23,24,24,24,24,24,25,31,32,"MasterPieces National Parks of Amercia, Jigsaw Puzzle, Maps, 1000 Pieces",30,10.0,MasterPieces,https://images-na.ssl-images-amazon.com/images/I/81%2B6nYXYGAL._SL1088_.jpg,'National parks & animals puzzle. 1000 pieces in finished 19. 25 inch x 26. 75 inch puzzle. MasterPieces - an American puzzle & GAME company. We stand behind our products and your satisfaction. Thick puzzle board ensures a tight interlocking fit. Random cut puzzle pieces create a fun experience',3.8,https://amazon.com/MasterPieces-National-America-Jigsaw-Puzzle/dp/B06XCB5RQX,-0.2313300000000001,5.0,0.3715541666666667,12.0,0.3275083333333333,8.0,0.222975,8.0,0.6114875,0.6857770833333333,0.6637541666666666,0.384335,animals,hand
24,24,24,25,25,25,25,25,26,34,35,Buffalo Games - Chuck Pinson Escapes - Inspirations of Spring - 1000 Piece Jigsaw Puzzle,118,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91%2BPseAR4IL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Includes bonus poster for help in solving. Manufactured from premium quality materials. Made in the USA',3.9,https://amazon.com/Buffalo-Games-Pinson-Escapes-Inspirations/dp/B01DP0MFT0,-0.3085455882352941,17.0,0.36992875,40.0,0.10370833333333332,24.0,0.5545535714285713,42.0,0.7772767857142857,0.6849643750000001,0.5518541666666666,0.3457272058823529,landscape,hand
25,25,25,26,26,26,26,26,27,35,36,White Mountain Puzzles Home Cooking - 1000 Piece Jigsaw Puzzle,65,16.99,White Mountain,https://images-na.ssl-images-amazon.com/images/I/81ih678U42L._SL1200_.jpg,"'Sweet creations: a cozy kitchen is brimming with lovely crockery and linens to enhance the aromas and visual pleasures of the bakery creations. A tempting treat awaits you!. 1000 piece puzzle: thrill and challenge your family and friends piecing together this incredible 1000-Piece jigsaw puzzle. Bring home hours of fun and entertainment everyone will enjoy Children & adults: if you love pretty scenery, cool collages, or beautiful places Our challenging puzzles delight men, women and kids alike. Quality design & easy to handle pieces create the fun Puzzle building: puzzles are a fun, inexpensive way to enjoy beautiful scenic artwork & remember foods, toys, places and good times from childhood. Spend time with family, friends, and fond memories!. Thicker larger pieces: includes 1000 extra large interlocking pieces made of high quality chipboard on recycled paper. 24 x 30 inches. 100% customer satisfaction guarantee. Made in USA.'",4.4,https://amazon.com/White-Mountain-Puzzles-Home-Cooking/dp/B01MZ4MM8R,-0.18065625,8.0,0.3664321428571429,14.0,0.3311833333333334,17.0,0.509762962962963,18.0,0.7548814814814815,0.6832160714285714,0.6655916666666667,0.409671875,food,collage
26,26,26,27,27,27,27,27,28,36,37,Buffalo Games - Charles Wysocki - Old California - 1000 Piece Jigsaw Puzzle,101,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/A1KuEkq70-L._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 in. X 19.75 in Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.4,https://amazon.com/Buffalo-Games-Charles-Wysocki-California/dp/B01N1F9OUJ,-0.18376388888888887,12.0,0.368601851851852,27.0,0.2397651515151515,11.0,0.5819067567567568,37.0,0.7909533783783784,0.684300925925926,0.6198825757575758,0.4081180555555556,towns_and_cities,hand
27,27,27,28,28,28,28,28,29,37,38,Buffalo Games - Country Life - Farm Flower Shed - 1000 Piece Jigsaw Puzzle,20,9.97,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91CLMCIVxXL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inches. Bonus poster included for help in solving. Manufactured from premium quality materials. Made in the USA',4.0,https://amazon.com/Buffalo-Games-Country-Flower-Jigsaw/dp/B07G98YTPC,-0.192075,4.0,0.15125,8.0,0.08964375000000002,8.0,0.5318166666666667,12.0,0.7659083333333334,0.575625,0.544821875,0.4039625,food,hand
28,28,28,29,29,29,29,29,30,39,40,Buffalo Games - Charles Wysocki - Olde Buck's County - 1000 Piece Jigsaw Puzzle,129,12.71,Buffalo Games,https://images-na.ssl-images-amazon.com/images/I/91uscCRrtRL._SL1500_.jpg,'1000 piece jigsaw puzzle. Finished size is 26.75 x 19.75 inch. Includes bonus poster for help in solving',4.0,https://amazon.com/Buffalo-Games-Charles-Wysocki-County/dp/B0145GML0G,-0.22779500000000005,20.0,0.3050702032520326,41.0,0.22761410256410256,26.0,0.5261764583333333,32.0,0.7630882291666666,0.6525351016260164,0.6138070512820513,0.3861025,towns_and_cities,hand
29,29,29,30,30,30,30,30,31,40,41,White Mountain Puzzles Best Places in America - 1000Piece Jigsaw Puzzle,181,14.99,White Mountain,https://images-na.ssl-images-amazon.com/images/I/81yEhpLaTkL._SL1200_.jpg,"'American beauty: take a road trip with this scenic collage puzzle and visit the best The 50 States have to offer! From the beautiful mountains to the lights of Las Vegas, there is so much to see!. 1000 piece puzzle: thrill and challenge your family and friends piecing together this incredible 1000-Piece jigsaw puzzle. Bring home hours of fun and entertainment everyone will enjoy Children & adults: if you love pretty scenery, cool collages, or beautiful places Our challenging puzzles delight men, women and kids alike. Quality design & easy to handle pieces create the fun Puzzle building: puzzles are a fun, inexpensive way to enjoy beautiful scenic artwork & remember foods, toys, places and good times from childhood. Spend time with family, friends, and fond memories!. Thicker larger pieces: includes 1000 extra large interlocking pieces made of high quality chipboard on recycled paper. 24 x 30 inches. 100% customer satisfaction guarantee. Made in USA.'",4.2,https://amazon.com/White-Mountain-Puzzles-Places-America/dp/B00TLFTFJ2,-0.11234047619047616,21.0,0.4119449275362319,46.0,0.26436414141414144,33.0,0.4929022222222221,45.0,0.7464511111111111,0.705972463768116,0.6321820707070707,0.4438297619047619,food,collage
